   54 ZINC00003530 ZINC 2.031e+03   2.56e-35 -47.9    0        0        -47.9      0  3  3 0.24
   59 ZINC00003682 ZINC 1.705e+03   1.74e-35 -32.6    0        0        -32.6      3  3  3 0.28
   48 ZINC00002353 ZINC 1.809e+03   1.62e-35 -45.3    0        0        -45.3      0  3  3 0.22
   57 ZINC00000458 ZINC 2.171e+03   1.66e-35 -41.4    0        0        -41.4      0  3  3 0.47
   58 ZINC00000458 ZINC 2.097e+03   1.26e-35 -38.7    0        0        -38.7      0  3  3 0.22
   63 ZINC00004823 ZINC 2.022e+03   2.04e-35 -52      0        0        -52        0  3  3 0.37
   52 ZINC00003260 ZINC 1.836e+03   1.81e-35 -45      0        0        -45        0  3  3 0.19
   61 ZINC00004823 ZINC 2.031e+03   6.9e-36  -43.3    0        0        -43.3      0  3  3 0.22
   62 ZINC00004823 ZINC 2.030e+03   6.49e-36 -44.7    0        0        -44.7      0  3  3 0.22
   56 ZINC00003530 ZINC 1.756e+03   2.55e-35 -36.4    0        0        -36.4      5  3  3 0.16
   65 ZINC00005816 ZINC 2.017e+03   2.45e-35 -48.3    0        0        -48.3      0  3  3 0.06
   66 ZINC00005816 ZINC 1.856e+03   1.37e-35 -48.2    0        0        -48.2      0  3  3 0.27
   67 ZINC00001285 UNL1 1.349e+03   -7.88    -23.9    0        0        -31.8      3  3  3 0.09
   60 ZINC00000662 <0>1 1.432e+03   -42.6    -23.2    0        0        -65.8      7  3  3 0.18
   69 ZINC00000069 ZINC 1.970e+03   2.52e-35 -50      0        0        -50        0  3  3 0.16
   70 ZINC00000103 <0>1 1.635e+03   -41.4    -5.09    0        0        -46.4      0  3  3 0.01
   71 ZINC00000103 <0>1 1.473e+03   -50.8    -6.99    0        0        -57.8      6  3  3 0.03
   64 ZINC00004823 ZINC 2.031e+03   7.75e-36 -44.7    0        0        -44.7      0  3  3 0.22
   73 ZINC00009637 ZINC 2.116e+03   2.56e-35 -49.4    0        0        -49.4      0  3  3 0.40
   74 ZINC00009637 ZINC 1.984e+03   1.96e-35 -47.3    0        0        -47.3      0  3  3 0.36
   75 ZINC00009808 ZINC 1.917e+03   2.25e-35 -43.2    0        0        -43.2      0  3  3 0.17
   68 ZINC00000069 ZINC 1.911e+03   2.3e-35  -32.9    0        0        -32.9      3  3  3 0.07
   77 ZINC00009808 ZINC 1.917e+03   2.1e-35  -44.3    0        0        -44.3      0  3  3 0.02
   78 ZINC00009808 ZINC 2.040e+03   2.24e-35 -42.6    0        0        -42.6      0  3  3 0.18
   79 ZINC00000968 ZINC 2.023e+03   2.73e-35 -55      0        0        -55        0  3  3 0.44
   72 ZINC00001589 ZINC 1.738e+03   1.51e-35 -48.8    0        0        -48.8      0  3  3 0.36
   81 ZINC00001179 ZINC 1.829e+03   1.65e-35 -47.9    0        0        -47.9      0  3  3 0.26
   82 ZINC00001179 ZINC 2.252e+03   1.63e-35 -45.7    0        0        -45.7      0  3  3 0.20
   83 ZINC00001223 ZINC 1.754e+03   2.14e-35 -47.7    0        0        -47.7      0  3  3 0.23
   76 ZINC00009808 ZINC 1.918e+03   5.93e-36 -40.6    0        0        -40.6      0  3  3 0.32
   85 ZINC00001350 ZINC 2.024e+03   1.13e-35 -42.6    0        0        -42.6      0  3  3 0.13
   86 ZINC00001708 ZINC 2.371e+03   2.25e-35 -44.7    0        0        -44.7      0  3  3 0.27
   87 ZINC00001708 ZINC 2.356e+03   2.44e-35 -43.4    0        0        -43.4      0  3  3 0.27
   80 ZINC00000968 ZINC 2.598e+03   1.51e-36 -47.2    0        0        -47.2      0  3  3 0.12
   89 ZINC00001940 ZINC 2.177e+03   2.43e-35 -46.6    0        0        -46.6      0  3  3 0.01
   90 ZINC00001949 ZINC 2.006e+03   2.43e-35 -52.6    0        0        -52.6      0  3  3 0.24
   91 ZINC00001949 ZINC 2.475e+03   2.38e-35 -48.8    0        0        -48.8      0  3  3 0.12
   84 ZINC00001223 ZINC 2.015e+03   2.1e-35  -44.5    0        0        -44.5      0  3  3 0.24
   93 ZINC00001949 ZINC 2.162e+03   1.33e-35 -46.5    0        0        -46.5      0  3  3 0.22
   94 ZINC00001952 ZINC 2.544e+03   2.63e-35 -48.6    0        0        -48.6      0  3  3 0.34
   95 ZINC00001952 ZINC 1.911e+03   2.56e-35 -55.4    0        0        -55.4      0  3  3 0.28
   88 ZINC00001940 ZINC 2.318e+03   -2.75e-36 -44.4    0        0        -44.4      0  3  3 0.12
   98 ZINC00002020 ZINC 2.371e+03   2.6e-35  -65.3    0        0        -65.3      0  3  3 0.49
   99 ZINC00002020 ZINC 2.049e+03   2.12e-35 -57.9    0        0        -57.9      0  3  3 0.31
   92 ZINC00001949 ZINC 2.323e+03   2.25e-35 -51.5    0        0        -51.5      0  3  3 0.22
