# ROC for file ampc.dat
# NLIG: 13
# NDEC: 390
 0.0026  0.0000  0.0000
 0.0051  0.0000  0.0000
 0.0077  0.0769  7.7500
 0.0103  0.0769  6.2000
 0.0128  0.1538  8.8571
 0.0154  0.1538  7.7500
 0.0179  0.1538  6.8889
 0.0205  0.1538  6.2000
 0.0231  0.1538  5.6364
 0.0256  0.1538  5.1667
 0.0282  0.1538  4.7692
 0.0308  0.1538  4.4286
 0.0333  0.1538  4.1333
 0.0359  0.1538  3.8750
 0.0385  0.1538  3.6471
 0.0410  0.1538  3.4444
 0.0436  0.1538  3.2632
 0.0462  0.1538  3.1000
 0.0487  0.2308  4.2273
 0.0513  0.2308  4.0435
 0.0538  0.2308  3.8750
 0.0564  0.2308  3.7200
 0.0590  0.3077  4.5926
 0.0615  0.3077  4.4286
 0.0641  0.3077  4.2759
 0.0667  0.3077  4.1333
 0.0692  0.3077  4.0000
 0.0718  0.3846  4.6970
 0.0744  0.3846  4.5588
 0.0769  0.3846  4.4286
 0.0795  0.3846  4.3056
 0.0821  0.3846  4.1892
 0.0846  0.3846  4.0789
 0.0872  0.3846  3.9744
 0.0897  0.3846  3.8750
 0.0923  0.3846  3.7805
 0.0949  0.3846  3.6905
 0.0974  0.3846  3.6047
 0.1000  0.3846  3.5227
 0.1026  0.3846  3.4444
 0.1051  0.3846  3.3696
 0.1077  0.3846  3.2979
 0.1103  0.3846  3.2292
 0.1128  0.3846  3.1633
 0.1154  0.3846  3.1000
 0.1179  0.3846  3.0392
 0.1205  0.3846  2.9808
 0.1231  0.3846  2.9245
 0.1256  0.3846  2.8704
 0.1282  0.3846  2.8182
 0.1308  0.3846  2.7679
 0.1333  0.3846  2.7193
 0.1359  0.3846  2.6724
 0.1385  0.3846  2.6271
 0.1410  0.3846  2.5833
 0.1436  0.3846  2.5410
 0.1462  0.3846  2.5000
 0.1487  0.3846  2.4603
 0.1513  0.3846  2.4219
 0.1538  0.3846  2.3846
 0.1564  0.3846  2.3485
 0.1590  0.3846  2.3134
 0.1615  0.3846  2.2794
 0.1641  0.3846  2.2464
 0.1667  0.3846  2.2143
 0.1692  0.3846  2.1831
 0.1718  0.3846  2.1528
 0.1744  0.3846  2.1233
 0.1769  0.3846  2.0946
 0.1795  0.3846  2.0667
 0.1821  0.3846  2.0395
 0.1846  0.3846  2.0130
 0.1872  0.3846  1.9872
 0.1897  0.3846  1.9620
 0.1923  0.3846  1.9375
 0.1949  0.4615  2.2683
 0.1974  0.4615  2.2410
 0.2000  0.4615  2.2143
 0.2026  0.4615  2.1882
 0.2051  0.4615  2.1628
 0.2077  0.4615  2.1379
 0.2103  0.4615  2.1136
 0.2128  0.4615  2.0899
 0.2154  0.4615  2.0667
 0.2179  0.4615  2.0440
 0.2205  0.4615  2.0217
 0.2231  0.4615  2.0000
 0.2256  0.4615  1.9787
 0.2282  0.4615  1.9579
 0.2308  0.4615  1.9375
 0.2333  0.4615  1.9175
 0.2359  0.4615  1.8980
 0.2385  0.4615  1.8788
 0.2410  0.4615  1.8600
 0.2436  0.4615  1.8416
 0.2462  0.4615  1.8235
 0.2487  0.4615  1.8058
 0.2513  0.4615  1.7885
 0.2538  0.4615  1.7714
 0.2564  0.4615  1.7547
 0.2590  0.4615  1.7383
 0.2615  0.4615  1.7222
 0.2641  0.4615  1.7064
 0.2667  0.4615  1.6909
 0.2692  0.4615  1.6757
 0.2718  0.4615  1.6607
 0.2744  0.4615  1.6460
 0.2769  0.4615  1.6316
 0.2795  0.4615  1.6174
 0.2821  0.4615  1.6034
 0.2846  0.4615  1.5897
 0.2872  0.4615  1.5763
 0.2897  0.5385  1.8083
 0.2923  0.5385  1.7934
 0.2949  0.6154  2.0163
 0.2974  0.6154  2.0000
 0.3000  0.6154  1.9840
 0.3026  0.6154  1.9683
 0.3051  0.6154  1.9528
 0.3077  0.6154  1.9375
 0.3103  0.6154  1.9225
 0.3128  0.6154  1.9077
 0.3154  0.6154  1.8931
 0.3179  0.6154  1.8788
 0.3205  0.6154  1.8647
 0.3231  0.6154  1.8507
 0.3256  0.6154  1.8370
 0.3282  0.6154  1.8235
 0.3308  0.6154  1.8102
 0.3333  0.6154  1.7971
 0.3359  0.6154  1.7842
 0.3385  0.6154  1.7714
 0.3410  0.6154  1.7589
 0.3436  0.6154  1.7465
 0.3462  0.6154  1.7343
 0.3487  0.6154  1.7222
 0.3513  0.6154  1.7103
 0.3538  0.6154  1.6986
 0.3564  0.6154  1.6871
 0.3590  0.6154  1.6757
 0.3615  0.6154  1.6644
 0.3641  0.6154  1.6533
